客户询问,模型预测标准问Top1,模型预测标准问Top5,top1_Preds,知识库标准问,Top1是否预测正确,Top5是否包含正确标准问
可以调整佣金的比例吗,如何调整佣金费率？,"['如何调整佣金费率？', '多少资金能达到多少的佣金？', '网上开户佣金是多少？', '信用账户的担保品买卖佣金费率与普通账户一致吗？', '如何查询佣金费率？']",0.999512315,如何调整佣金费率？,1,1
怎么开通创业板的权限,创业板权限首次开通？,"['创业板权限首次开通？', '创业板如何开通', '开通创业板权限对账户有什么要求？', '信用账户与普通账户的创业板权限需单独开立吗？', '创业板权限开通的办理时间']",0.997804821,创业板权限首次开通？,1,1
你好！我的登录密码忘了,手机账户密码忘记了怎么办,"['手机账户密码忘记了怎么办', '忘记资金密码怎么办？', '如何修改账户资金密码？', '忘记交易密码怎么办？', '如何修改交易密码']",0.999553382,手机账户密码忘记了怎么办,1,1
忘记登录密码怎么办,手机账户密码忘记了怎么办,"['手机账户密码忘记了怎么办', '忘记资金密码怎么办？', '如何修改账户资金密码？', '忘记交易密码怎么办？', '如何重置信用账户密码？']",0.999883771,手机账户密码忘记了怎么办,1,1
账户怎么不能登录,如何开户？,"['如何开户？', '同一个账号允许在不同的手机上同时登录吗？', '如何注销证券账户？', '如何注销信用账户？', 'A股账户销户有哪些注意事项？']",0.92162329,如何开户？,1,1
信用账户与普通账户的创业板权限用不用单独开立啊？,创业板如何开通,"['创业板如何开通', '信用账户与普通账户的创业板权限需单独开立吗？', '开通创业板权限对账户有什么要求？', '创业板权限首次开通？', '创业板权限开通的办理时间']",0.964814782,信用账户与普通账户的创业板权限需单独开立吗？,0,1
我不用开户,如何开户？,"['如何开户？', '如何注销证券账户？', '如何注销信用账户？', '信用账户开通条件', '信用账户开立后何时生效？']",0.992073238,如何开户？,1,1
我的交易密码忘记了怎么办,忘记交易密码怎么办？,"['忘记交易密码怎么办？', '如何修改交易密码', '如何修改账户交易密码？', '忘记资金密码怎么办？', '深圳证券交易所证券代码编制原则是什么？']",0.999944568,忘记交易密码怎么办？,1,1
忘记登录密码了,手机账户密码忘记了怎么办,"['手机账户密码忘记了怎么办', '忘记资金密码怎么办？', '如何修改账户资金密码？', '忘记交易密码怎么办？', '如何修改交易密码']",0.999540925,手机账户密码忘记了怎么办,1,1
当日买的股票，资金当日能转出来吗,当日卖出股票后可以转出资金吗？,"['当日卖出股票后可以转出资金吗？', '为何账户有资金无法转出？', '上交所可转债债转股能撤单吗？', '深交所转股申报当日如何撤销？', 'A股自助开户时转账失败，如何处理？']",0.998399079,当日卖出股票后可以转出资金吗？,1,1
B股可以通过什么进行委托报价？,B股的委托申报方式？,"['B股的委托申报方式？', 'B股实行T+0回转交易吗？', '上海B股需要指定交易吗？', '信用账户交易允许市价委托吗？', '如何修改成本价数值？']",0.999559581,B股的委托申报方式？,1,1
怎么查佣金,如何查询佣金费率？,"['如何查询佣金费率？', '信用账户的担保品买卖佣金费率与普通账户一致吗？', '多少资金能达到多少的佣金？', '网上开户佣金是多少？', '如何收取股票交易佣金？']",0.999478519,如何查询佣金费率？,1,1
为什么我可用的钱转不出去,为何账户有资金无法转出？,"['为何账户有资金无法转出？', '当日卖出股票后可以转出资金吗？', '证券转银行为什么转不了？', '信用账户资金无法转出的原因', 'A股自助开户时转账失败，如何处理？']",0.988266408,为何账户有资金无法转出？,1,1
新开户不久，000.600的票都买了，咋还不能打新。请告知打新的条件。谢谢。,新股申购的条件？,"['新股申购的条件？', '网下打新申报数量有什么规定？', '新股上市首日有涨跌幅限制吗？', '新股申购的配号规则？', '信用账户新股中签缴款占用了自有资金会影响维持担保比例吗？']",0.98103869,新股申购的条件？,1,1
怎么登录不帐号了？,如何开户？,"['如何开户？', '同一个账号允许在不同的手机上同时登录吗？', '手机账号忘记了怎么办', '如何查询证券账号？', '客户编号忘记了如何找回？']",0.845104337,如何开户？,1,1
我想把我的佣金调整为万三，应该怎么做,如何调整佣金费率？,"['如何调整佣金费率？', '多少资金能达到多少的佣金？', '网上开户佣金是多少？', '信用账户的担保品买卖佣金费率与普通账户一致吗？', '如何查询佣金费率？']",0.999689221,如何调整佣金费率？,1,1
为什么证券转银行不行？,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '信用账户资金无法转出的原因', '当日卖出股票后可以转出资金吗？']",0.999396801,证券转银行为什么转不了？,1,1
当日股票买的钱，要多久才能转银行卡,当日卖出股票后可以转出资金吗？,"['当日卖出股票后可以转出资金吗？', '上海B股需要指定交易吗？', '如何才可以买股票？', 'A股为什么要实行T+1股票交易制度？', '股票可以当天买入当天卖出吗？']",0.857197285,当日卖出股票后可以转出资金吗？,1,1
深市港股通会有怎样的风险？,深市港股通有哪些特别风险？,"['深市港股通有哪些特别风险？', 'A股和港股的显示颜色有什么区别？', '深港通跟沪港通的额度能共用吗？', '深港通股票为A+H股的，A股停牌与H股停牌是否同步？', '深市港股通权限如何取消？']",0.999574006,深市港股通有哪些特别风险？,1,1
资金账户忘了,信用账户资金无法转出的原因,"['信用账户资金无法转出的原因', '手机账号忘记了怎么办', '同一个账号允许在不同的手机上同时登录吗？', '如何注销证券账户？', '为何账户有资金无法转出？']",0.988184214,忘记资金密码怎么办？,0,0
请问今天卖掉股票的钱今天不能转账回银行吗？,当日卖出股票后可以转出资金吗？,"['当日卖出股票后可以转出资金吗？', '股票可以当天买入当天卖出吗？', '如何才可以买股票？', 'ST股票为何无法买入？', '如何交易股票？']",0.815183878,当日卖出股票后可以转出资金吗？,1,1
你好，请帮我查一下我的佣金费率,多少资金能达到多少的佣金？,"['多少资金能达到多少的佣金？', '如何查询佣金费率？', '网上开户佣金是多少？', '信用账户的担保品买卖佣金费率与普通账户一致吗？', '如何调整佣金费率？']",0.999628544,如何查询佣金费率？,0,1
账户忘记,手机账号忘记了怎么办,"['手机账号忘记了怎么办', '同一个账号允许在不同的手机上同时登录吗？', '如何注销证券账户？', '信用账户对应银行的券商代码？', '信用证券账户卡遗失应如何处理？']",0.987160563,手机账号忘记了怎么办,1,1
忘了資金密碼,忘记资金密码怎么办？,"['忘记资金密码怎么办？', '手机账户密码忘记了怎么办', '如何修改账户资金密码？', '忘记交易密码怎么办？', '如何修改交易密码']",0.990631163,忘记资金密码怎么办？,1,1
求告知信用账户配股的操作方法,信用账户如何操作配股？,"['信用账户如何操作配股？', '信用账户如何操作配售？', '申购新股后为何查询不到配号？', '如何通过电话委托查询新股申购配号？', '深圳市场的新股配号为何有小数点？']",0.99656111,信用账户如何操作配股？,1,1
信用账户新股中签后用自有资金缴的款，会对维持担保比例造成影响吗,信用账户新股中签缴款占用了自有资金会影响维持担保比例吗？,"['信用账户新股中签缴款占用了自有资金会影响维持担保比例吗？', '新股中签如何缴款？', '新股中签会有短信通知吗？', '新股中签扣款时对现金增利有什么影响？', '网下打新申报价格有什么规定？']",0.999708116,信用账户新股中签缴款占用了自有资金会影响维持担保比例吗？,1,1
我已经满足了打新的准备条件，为什么还打不了新 ,新股申购的条件？,"['新股申购的条件？', '网下打新的备案条件？', '网下打新申报数量有什么规定？', '网下打新申报价格有什么规定？', '网下打新资格是否支持在多家券商间使用？']",0.99559927,新股申购的条件？,1,1
处理申报深市股票委托时，提示：证券账户无效的方式是什么？,申报深市股票委托时，提示：证券账户无效，该如何处理？,"['申报深市股票委托时，提示：证券账户无效，该如何处理？', '深圳大宗交易的成交确认时间？', '深交所新股上市首日临时停牌期间接受委托吗？', '深圳市场大宗交易的条件？', '深交所对竞价交易临时停牌有何规定？']",0.998780668,申报深市股票委托时，提示：证券账户无效，该如何处理？,1,1
我的帐户不能转帐到银行卡里？,外币证券转银行限额,"['外币证券转银行限额', 'A股自助开户时转账失败，如何处理？', '证券转银行为什么转不了？', '信用账户资金无法转出的原因', '为何账户有资金无法转出？']",0.997894704,证券转银行为什么转不了？,0,1
当日卖出的股票获取的资金，可不可以当日转出,当日卖出股票后可以转出资金吗？,"['当日卖出股票后可以转出资金吗？', '为何账户有资金无法转出？', '股票可以当天买入当天卖出吗？', '退市股票可以交易吗？', '如何才可以买股票？']",0.855892897,当日卖出股票后可以转出资金吗？,1,1
创业板权限首次开通,创业板如何开通,"['创业板如何开通', '创业板权限首次开通？', '开通创业板权限对账户有什么要求？', '创业板权限开通的办理时间', '信用账户与普通账户的创业板权限需单独开立吗？']",0.981734812,创业板权限首次开通？,0,1
信用账户当日卖出的股票资金，能否当日转出到银行,当日卖出股票后可以转出资金吗？,"['当日卖出股票后可以转出资金吗？', '信用账户可以买入现金类产品吗？', '信用账户持有的股票如何行使投票权？', '信用账户可以交易哪些股票？', '信用账户可以购买非标的证券吗？']",0.798696578,当日卖出股票后可以转出资金吗？,1,1
改银行,信用账户对应银行的券商代码？,"['信用账户对应银行的券商代码？', '如何更换银行卡？', '信用账户三方存管的银行有哪些？', '证券转银行为什么转不了？', '如何绑定多张银行卡？']",0.885530472,如何更换银行卡？,0,1
为什么我的钱提不出来,为何账户有资金无法转出？,"['为何账户有资金无法转出？', '当日卖出股票后可以转出资金吗？', '股票可以当天买入当天卖出吗？', '申报深市股票委托时，提示：证券账户无效，该如何处理？', '申购基金时发行总数显示为0的原因']",0.23109144,为何账户有资金无法转出？,1,1
请问你们可以马上开通创业板吗？,创业板如何开通,"['创业板如何开通', '开通创业板权限对账户有什么要求？', '创业板权限首次开通？', '信用账户与普通账户的创业板权限需单独开立吗？', '创业板权限开通的办理时间']",0.987733722,创业板如何开通,1,1
不符合申购新股的条件是什么情况,新股申购的条件？,"['新股申购的条件？', '网下打新申报数量有什么规定？', '网下打新申报价格有什么规定？', '新股申购有数量要求吗？', '网下打新的备案条件？']",0.998970747,新股申购的条件？,1,1
创业板如何开通！,创业板如何开通,"['创业板如何开通', '开通创业板权限对账户有什么要求？', '创业板权限首次开通？', '创业板权限开通的办理时间', '信用账户与普通账户的创业板权限需单独开立吗？']",0.995631576,创业板如何开通,1,1
是不是不在交易时间，上不去？,股票的交易时间？,"['股票的交易时间？', '深圳大宗交易的成交确认时间？', '如何交易股票？', '深交所对竞价交易临时停牌有何规定？', '上海ST、*ST股的交易规则？']",0.928219855,股票的交易时间？,1,1
怎么资金转不出呀,为何账户有资金无法转出？,"['为何账户有资金无法转出？', '信用账户资金无法转出的原因', '证券转银行为什么转不了？', '转账失败的原因？', '上交所可转债债转股能撤单吗？']",0.993988156,为何账户有资金无法转出？,1,1
这会从证券转银行怎么转不了啊？,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '为何账户有资金无法转出？', '信用账户资金无法转出的原因']",0.999695659,证券转银行为什么转不了？,1,1
交易佣金是多少,多少资金能达到多少的佣金？,"['多少资金能达到多少的佣金？', '信用账户的担保品买卖佣金费率与普通账户一致吗？', '如何调整佣金费率？', '如何收取股票交易佣金？', '网上开户佣金是多少？']",0.999431193,多少资金能达到多少的佣金？,1,1
我的钱干嘛转不进去证券,为何账户有资金无法转出？,"['为何账户有资金无法转出？', '证券转银行为什么转不了？', '外币证券转银行限额', '信用账户资金无法转出的原因', '银证转账的时间？']",0.994109869,证券转银行为什么转不了？,0,1
为什么深市新股配号后面有小数点，还有2个00,深圳市场的新股配号为何有小数点？,"['深圳市场的新股配号为何有小数点？', '申购新股后为何查询不到配号？', '网下打新申报数量有什么规定？', '新股申购的配号规则？', '新股申购有数量要求吗？']",0.999779046,深圳市场的新股配号为何有小数点？,1,1
网下打新的申报价格按什么要求进行,网下打新申报价格有什么规定？,"['网下打新申报价格有什么规定？', '网下打新申报数量有什么规定？', '网下打新资格是否支持在多家券商间使用？', '新股上市当天，开盘集合竞价的申报价格涨跌幅有何限制？', '网下打新的备案条件？']",0.999891877,网下打新申报价格有什么规定？,1,1
您好，如何开通创业板,创业板如何开通,"['创业板如何开通', '开通创业板权限对账户有什么要求？', '创业板权限首次开通？', '创业板权限开通的办理时间', '信用账户与普通账户的创业板权限需单独开立吗？']",0.995776474,创业板如何开通,1,1
新股申购，有数量限制吗？最大和最少能说下吗？,新股申购数量上限,"['新股申购数量上限', '网下打新申报数量有什么规定？', '网下打新申报价格有什么规定？', '新股申购有数量要求吗？', '申购基金时发行总数显示为0的原因']",0.999257863,新股申购数量上限,1,1
银行转证券提示失败,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '信用账户资金无法转出的原因', '为何账户有资金无法转出？']",0.998987854,证券转银行为什么转不了？,1,1
绑定多张银行卡,如何绑定多张银行卡？,"['如何绑定多张银行卡？', '如何更换银行卡？', '如何更换同一银行的三方存管银行卡？', '信用证券账户卡遗失应如何处理？', '信用账户对应银行的券商代码？']",0.998115659,如何绑定多张银行卡？,1,1
我忘记了交易密码怎么办？,忘记交易密码怎么办？,"['忘记交易密码怎么办？', '如何修改交易密码', '如何修改账户交易密码？', '忘记资金密码怎么办？', '深圳证券交易所证券代码编制原则是什么？']",0.999944568,忘记交易密码怎么办？,1,1
如何开通创业板购买权限,创业板权限首次开通？,"['创业板权限首次开通？', '创业板如何开通', '开通创业板权限对账户有什么要求？', '信用账户与普通账户的创业板权限需单独开立吗？', '创业板权限开通的办理时间']",0.997067034,创业板权限首次开通？,1,1
我想开通购买创业板的权限，怎么办理？,创业板权限首次开通？,"['创业板权限首次开通？', '创业板如何开通', '开通创业板权限对账户有什么要求？', '信用账户与普通账户的创业板权限需单独开立吗？', '创业板权限开通的办理时间']",0.998256981,创业板权限首次开通？,1,1
昨天申购的新股，今天为什么没有配号？,申购新股后为何查询不到配号？,"['申购新股后为何查询不到配号？', '新股申购的配号规则？', '深圳市场的新股配号为何有小数点？', '新股申购有数量要求吗？', '网下打新申报数量有什么规定？']",0.999467194,申购新股后为何查询不到配号？,1,1
信用账户交易中可以进行市价委托吗？,深交所上市债券实行全价交易有哪些？,"['深交所上市债券实行全价交易有哪些？', '深交所上市债券实行净价交易有哪些？', '信用账户交易允许市价委托吗？', '如何修改成本价数值？', '深交所对竞价交易临时停牌有何规定？']",0.99914062,信用账户交易允许市价委托吗？,0,1
你们的佣金是多少,信用账户的担保品买卖佣金费率与普通账户一致吗？,"['信用账户的担保品买卖佣金费率与普通账户一致吗？', '多少资金能达到多少的佣金？', '如何调整佣金费率？', '网上开户佣金是多少？', '如何查询佣金费率？']",0.999511719,多少资金能达到多少的佣金？,0,1
我股票都停牌了，能销户吗,A股账户销户有哪些注意事项？,"['A股账户销户有哪些注意事项？', 'A股账户销户需由本人亲自办理吗？', '上交所新股上市首日临时停牌期间接受委托吗？', '深交所新股上市首日临时停牌期间接受委托吗？', '深交所对竞价交易临时停牌有何规定？']",0.978624761,A股账户销户有哪些注意事项？,1,1
证券转银行不是立马就可以转的？,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '当日卖出股票后可以转出资金吗？', '信用账户资金无法转出的原因']",0.999490976,证券转银行为什么转不了？,1,1
我想申购新股，想问下这个配号规则是怎样的,新股申购有数量要求吗？,"['新股申购有数量要求吗？', '网下打新申报数量有什么规定？', '新股申购的市值计算范围？', '新股申购数量上限', '新股申购的条件？']",0.998886883,新股申购的配号规则？,0,0
忘记登录密码？,手机账户密码忘记了怎么办,"['手机账户密码忘记了怎么办', '忘记资金密码怎么办？', '如何修改账户资金密码？', '忘记交易密码怎么办？', '如何修改交易密码']",0.999540925,手机账户密码忘记了怎么办,1,1
A股账户可以网上开通吗,如何开户？,"['如何开户？', '信用账户可以网上开通吗？', '信用账户可以交易哪些股票？', '信用账户可以买入现金类产品吗？', '信用账户可以购买非标的证券吗？']",0.87470299,如何开户？,1,1
为什么不能登入我的账户?,如何开户？,"['如何开户？', '同一个账号允许在不同的手机上同时登录吗？', '如何注销证券账户？', '如何注销信用账户？', '信用证券账户卡遗失应如何处理？']",0.902747512,如何开户？,1,1
怎么付新三板的挂牌费用呢,新三板挂牌费用如何支付？,"['新三板挂牌费用如何支付？', '新三板可以做融资融券交易吗？', '新三板协议转让有哪些成交情况？', '如何更换同一银行的三方存管银行卡？', '新三板股票协议转让的申报类型？']",0.999074101,新三板挂牌费用如何支付？,1,1
交易账户账号忘记,同一个账号允许在不同的手机上同时登录吗？,"['同一个账号允许在不同的手机上同时登录吗？', '手机账号忘记了怎么办', '如何注销证券账户？', '如何修改账户交易密码？', '信用账户销户条件？']",0.986340761,忘记交易密码怎么办？,0,0
请问如何更换银行卡,如何更换银行卡？,"['如何更换银行卡？', '如何绑定多张银行卡？', '如何更换同一银行的三方存管银行卡？', '信用账户三方存管的银行有哪些？', '信用证券账户卡遗失应如何处理？']",0.998282909,如何更换银行卡？,1,1
申购新股时，是否需要准备足够的资金用于冻结。,为何账户有资金无法转出？,"['为何账户有资金无法转出？', '新股申购有数量要求吗？', '新股申购的市值计算范围？', '新股申购时会冻结资金吗？', '新股申购的条件？']",0.075478666,新股申购时会冻结资金吗？,0,1
信用账户的现金资金怎么就不能进行新股中签款缴款？,信用账户资金无法转出的原因,"['信用账户资金无法转出的原因', '信用账户可以买入现金类产品吗？', '为何账户有资金无法转出？', '如何注销信用账户？', '如何注销证券账户？']",0.995372474,信用账户的现金资产为何不能进行新股中签款缴款？,0,0
想问一下，我的是万几费,多少资金能达到多少的佣金？,"['多少资金能达到多少的佣金？', '网上开户佣金是多少？', '信用账户的担保品买卖佣金费率与普通账户一致吗？', '如何收取股票交易佣金？', 'A股开户是否收费？']",0.991909921,多少资金能达到多少的佣金？,1,1
账号不能登录,如何开户？,"['如何开户？', '同一个账号允许在不同的手机上同时登录吗？', '手机账号忘记了怎么办', '如何查询证券账号？', '如何注销证券账户？']",0.52642417,如何开户？,1,1
为什么不能转银行,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '信用账户资金无法转出的原因', '当日卖出股票后可以转出资金吗？']",0.99793458,证券转银行为什么转不了？,1,1
你好，为什么我的账户买不了ST股票,ST股票为何无法买入？,"['ST股票为何无法买入？', '上海ST、*ST股的交易规则？', '信用账户可以购买ST股票吗？', 'A股为什么要实行T+1股票交易制度？', 'B股实行T+0回转交易吗？']",0.999043524,ST股票为何无法买入？,1,1
费用一共多少钱,多少资金能达到多少的佣金？,"['多少资金能达到多少的佣金？', '网上开户佣金是多少？', '如何收取股票交易佣金？', '信用账户的担保品买卖佣金费率与普通账户一致吗？', 'A股开户是否收费？']",0.992310047,多少资金能达到多少的佣金？,1,1
用什么方法收取股票佣金？,如何收取股票交易佣金？,"['如何收取股票交易佣金？', '信用账户的担保品买卖佣金费率与普通账户一致吗？', '如何查询佣金费率？', '多少资金能达到多少的佣金？', '如何调整佣金费率？']",0.999227524,如何收取股票交易佣金？,1,1
请问一下，客户编号忘了，怎么办,手机账号忘记了怎么办,"['手机账号忘记了怎么办', '客户编号忘记了如何找回？', '手机账户密码忘记了怎么办', '同一个账号允许在不同的手机上同时登录吗？', '信用账户对应银行的券商代码？']",0.996768594,客户编号忘记了如何找回？,0,1
登录不进去账户,如何开户？,"['如何开户？', '同一个账号允许在不同的手机上同时登录吗？', '信用账户销户条件？', '如何注销证券账户？', '如何注销信用账户？']",0.86050868,如何开户？,1,1
可以用交易帐号登录吗,同一个账号允许在不同的手机上同时登录吗？,"['同一个账号允许在不同的手机上同时登录吗？', '信用账户可以交易哪些股票？', '如何查询证券账号？', '手机账号忘记了怎么办', '信用账户可以买入现金类产品吗？']",0.975913286,如何修改账户交易密码？,0,0
怎么看手续费,多少资金能达到多少的佣金？,"['多少资金能达到多少的佣金？', '信用账户的担保品买卖佣金费率与普通账户一致吗？', '如何收取股票交易佣金？', '如何调整佣金费率？', '如何查询佣金费率？']",0.989700079,如何查询佣金费率？,0,1
请问一下，开通深港通必须满足什么条件？,深市港股通开通条件,"['深市港股通开通条件', 'A股和港股的显示颜色有什么区别？', '深港通标的股票范围？', '深港通和沪港通的交易日区别？', '深港通股票交易如何操作？']",0.999206364,深市港股通开通条件,1,1
非标的证券信用账户购买方式是什么？,B股的委托申报方式？,"['B股的委托申报方式？', '新三板转让方式有哪些？', '如何注销三方存管账户？', '信用账户可以买入现金类产品吗？', '信用账户三方存管的银行有哪些？']",0.998678505,信用账户可以购买非标的证券吗？,0,0
为什么我的账户不允许提现,信用账户可以买入现金类产品吗？,"['信用账户可以买入现金类产品吗？', '如何注销证券账户？', '为何账户有资金无法转出？', '同一个账号允许在不同的手机上同时登录吗？', 'A股自助开户时转账失败，如何处理？']",0.988200903,证券转银行为什么转不了？,0,0
如何查询证券账号？,如何注销证券账户？,"['如何注销证券账户？', '如何查询证券账号？', '信用证券账户卡遗失应如何处理？', '如何注销信用账户？', '信用账户持有的股票如何行使投票权？']",0.997240424,如何查询证券账号？,0,1
信用账户可以国债逆回购吗？,信用账户可以参与逆回购吗？,"['信用账户可以参与逆回购吗？', '上交所债券逆回购申报数量要求？', '深交所上市债券实行全价交易有哪些？', '深交所上市债券实行净价交易有哪些？', '上交所逆回购的起点金额？']",0.998415589,信用账户可以参与逆回购吗？,1,1
您好，为什么我的账户资金可用不可取,信用账户可以买入现金类产品吗？,"['信用账户可以买入现金类产品吗？', '信用账户可以参与逆回购吗？', '为何账户有资金无法转出？', '如何注销证券账户？', '信用账户可以购买非标的证券吗？']",0.995892882,为什么资金可用不可取？,0,0
怎么登录账户,如何开户？,"['如何开户？', '同一个账号允许在不同的手机上同时登录吗？', '如何注销证券账户？', '如何注销信用账户？', '手机账号忘记了怎么办']",0.969478548,如何开户？,1,1
开户怎么开户,如何开户？,"['如何开户？', '如何注销证券账户？', '如何注销信用账户？', '信用账户开立后何时生效？', '自助开户后如何补办三方存管？']",0.99482286,如何开户？,1,1
新股申购市值计算中包含我账户基金持仓市值吗？,信用账户新股中签缴款占用了自有资金会影响维持担保比例吗？,"['信用账户新股中签缴款占用了自有资金会影响维持担保比例吗？', '新股中签扣款时对金快线有什么影响？', '新股中签扣款时对现金增利有什么影响？', '新股中签如何缴款？', '如何修改接收新股中签提醒短信的手机号码？']",0.999219418,新股申购的市值计算范围？,0,0
记得交易密码,忘记交易密码怎么办？,"['忘记交易密码怎么办？', '如何修改交易密码', '如何修改账户交易密码？', '深圳证券交易所证券代码编制原则是什么？', '深市A股的增发代码是什么？']",0.999849916,忘记交易密码怎么办？,1,1
我的客户编码忘记了，麻烦告诉一下,深市A股的增发代码是什么？,"['深市A股的增发代码是什么？', '信用账户对应银行的券商代码？', '手机账户密码忘记了怎么办', '如何重置信用账户密码？', '如何修改账户资金密码？']",0.999784052,客户编号忘记了如何找回？,0,0
请问更改第三方存管银行怎么办理,如何更换同一银行的三方存管银行卡？,"['如何更换同一银行的三方存管银行卡？', '自助开户后如何补办三方存管？', '如何注销三方存管账户？', '信用账户三方存管的银行有哪些？', '新三板的投资者有哪些？']",0.999489665,如何更换同一银行的三方存管银行卡？,1,1
创业板能帮开通吗,创业板如何开通,"['创业板如何开通', '开通创业板权限对账户有什么要求？', '创业板权限首次开通？', '创业板权限开通的办理时间', '信用账户与普通账户的创业板权限需单独开立吗？']",0.984531283,创业板如何开通,1,1
我的交易密码忘了,忘记交易密码怎么办？,"['忘记交易密码怎么办？', '如何修改交易密码', '如何修改账户交易密码？', '深圳证券交易所证券代码编制原则是什么？', '忘记资金密码怎么办？']",0.999864578,忘记交易密码怎么办？,1,1
如何交易买卖深市沪港通的股票,A股和港股通退市制度的区别,"['A股和港股通退市制度的区别', '深市港股通有哪些特别风险？', '深港通股票交易如何操作？', '深港通和沪港通的交易日区别？', '深港通标的股票范围？']",0.999313831,深港通股票交易如何操作？,0,1
开户干嘛,如何开户？,"['如何开户？', '如何注销证券账户？', '信用账户开通条件', '如何注销信用账户？', '信用账户开立后何时生效？']",0.992019713,如何开户？,1,1
我的银转证怎么转不了,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '信用账户资金无法转出的原因', '为何账户有资金无法转出？']",0.999101758,证券转银行为什么转不了？,1,1
我的佣金多少,多少资金能达到多少的佣金？,"['多少资金能达到多少的佣金？', '信用账户的担保品买卖佣金费率与普通账户一致吗？', '如何调整佣金费率？', '网上开户佣金是多少？', '如何查询佣金费率？']",0.999495149,多少资金能达到多少的佣金？,1,1
上交所申报债券逆回购时对申报的数量有要求吗,上交所债券逆回购申报数量要求？,"['上交所债券逆回购申报数量要求？', '上交所逆回购的起点金额？', '深交所上市债券实行净价交易有哪些？', '深交所上市债券实行全价交易有哪些？', '深交所逆回购的起点金额？']",0.999049127,上交所债券逆回购申报数量要求？,1,1
忘记交易密码,忘记交易密码怎么办？,"['忘记交易密码怎么办？', '如何修改交易密码', '如何修改账户交易密码？', '深圳证券交易所证券代码编制原则是什么？', '深市A股的增发代码是什么？']",0.999872804,忘记交易密码怎么办？,1,1
开户编号是什么啊,客户编号忘记了如何找回？,"['客户编号忘记了如何找回？', '同一个账号允许在不同的手机上同时登录吗？', '手机账号忘记了怎么办', '信用账户如何操作配售？', '信用账户如何操作配股？']",0.996799588,如何开户？,0,0
你好，我的登陆密码忘记了 交易密码忘记了,忘记交易密码怎么办？,"['忘记交易密码怎么办？', '如何修改交易密码', '如何修改账户交易密码？', '深市A股的增发代码是什么？', '深圳证券交易所证券代码编制原则是什么？']",0.999909997,忘记交易密码怎么办？,1,1
外币证券转银证的每天限额是多少,外币证券转银行限额,"['外币证券转银行限额', '证券转银行为什么转不了？', '银证转账的时间？', '当日卖出股票后可以转出资金吗？', '转账失败的原因？']",0.999457777,外币证券转银行限额,1,1
新三板与地方产权交易市场有什么不同？,新三板与地方产权交易市场的区别？,"['新三板与地方产权交易市场的区别？', '三板交易权限如何取消？', '新三板协议转让有哪些成交情况？', '新三板的投资者有哪些？', '新三板可以做融资融券交易吗？']",0.999639392,新三板与地方产权交易市场的区别？,1,1
基金当天买入当天可以卖出吗,申购基金时发行总数显示为0的原因,"['申购基金时发行总数显示为0的原因', '股票可以当天买入当天卖出吗？', 'ST股票为何无法买入？', '信用账户可以购买ST股票吗？', '如何才可以买股票？']",0.994491816,股票可以当天买入当天卖出吗？,0,1
深交所上市可以进行净价交易的债券有哪些？,深交所上市债券实行净价交易有哪些？,"['深交所上市债券实行净价交易有哪些？', '深交所上市债券实行全价交易有哪些？', '深交所对竞价交易临时停牌有何规定？', '如何修改成本价数值？', '信用账户交易允许市价委托吗？']",0.999847889,深交所上市债券实行净价交易有哪些？,1,1
鎴戣处鍙峰繕浜嗮煒?,如何开户？,"['如何开户？', 'A股为什么要实行T+1股票交易制度？', '信用账户销户条件？', '信用证券账户卡遗失应如何处理？', 'A股账户销户需由本人亲自办理吗？']",0.173209533,手机账号忘记了怎么办,0,0
明天能银证转账吗,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '信用账户资金无法转出的原因', '转账失败的原因？', '银证转账的时间？']",0.998045325,银证转账的时间？,0,1
现在证券不能转银行吗,证券转银行为什么转不了？,"['证券转银行为什么转不了？', '外币证券转银行限额', '银证转账的时间？', '信用账户资金无法转出的原因', '当日卖出股票后可以转出资金吗？']",0.998780906,证券转银行为什么转不了？,1,1
为什么资金转不出来,为何账户有资金无法转出？,"['为何账户有资金无法转出？', '信用账户资金无法转出的原因', '证券转银行为什么转不了？', '转账失败的原因？', '外币证券转银行限额']",0.994255722,为何账户有资金无法转出？,1,1
为什么总说交易密码不对,忘记交易密码怎么办？,"['忘记交易密码怎么办？', '如何修改交易密码', '如何修改账户交易密码？', '深圳证券交易所证券代码编制原则是什么？', '忘记资金密码怎么办？']",0.999820888,忘记交易密码怎么办？,1,1
忘了编号,客户编号忘记了如何找回？,"['客户编号忘记了如何找回？', '手机账号忘记了怎么办', '同一个账号允许在不同的手机上同时登录吗？', '手机账户密码忘记了怎么办', '深圳证券交易所证券代码编制原则是什么？']",0.988908589,手机账号忘记了怎么办,0,1
